run_accession,sample_accession,experiment_accession,study_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,bam_ftp
ERR1797972,SAMEA50751418,ERX1861510,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1797972/ERR1797972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1797972/ERR1797972_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797972/2156N0004_ACTTGA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797972/2156N0004_ACTTGA_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/002/ERR1797972,
ERR1797970,SAMEA50749918,ERX1861508,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1797970/ERR1797970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1797970/ERR1797970_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797970/2156N0002_TGACCA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797970/2156N0002_TGACCA_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/000/ERR1797970,
ERR1797971,SAMEA50750668,ERX1861509,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1797971/ERR1797971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1797971/ERR1797971_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797971/2156N0003_ACAGTG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797971/2156N0003_ACAGTG_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/001/ERR1797971,
ERR1797974,SAMEA50752918,ERX1861512,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1797974/ERR1797974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1797974/ERR1797974_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797974/2156N0006_GGCTAC_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797974/2156N0006_GGCTAC_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/004/ERR1797974,
ERR1797969,SAMEA50749168,ERX1861507,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1797969/ERR1797969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1797969/ERR1797969_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797969/2156N0001_ATCACG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797969/2156N0001_ATCACG_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/009/ERR1797969,
ERR1797973,SAMEA50752168,ERX1861511,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1797973/ERR1797973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1797973/ERR1797973_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797973/2156N0005_TAGCTT_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797973/2156N0005_TAGCTT_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/003/ERR1797973,
